Downstream distance,Drainage_Area,DEM_VOURAIKOS,Erosional efficiency
39193.74268,236239750,64.7002182,2.10E-11
39186.67164,236203150,64.99646759,2.10E-11
39179.60059,236203000,65.22357941,2.10E-11
39174.60059,236202975,65.41053009,2.10E-11
39167.52955,236202925,65.54223633,2.10E-11
39160.4585,236202900,65.54223633,2.10E-11
39155.4585,236202800,65.54223633,2.10E-11
39150.4585,236202450,65.63751984,2.10E-11
39143.38746,236202425,65.63751984,2.10E-11
39138.38746,236201850,65.63751984,2.10E-11
39131.31641,236201375,65.82763672,2.10E-11
39124.24537,236201275,65.84901428,2.10E-11
39119.24537,236201125,66.01638794,2.10E-11
39112.17432,236201100,66.01638794,2.10E-11
39105.10328,236201050,66.01638794,2.10E-11
39098.03223,236200400,66.10958862,2.10E-11
39090.96119,236200375,66.10958862,2.10E-11
39083.89014,236134925,66.24877167,2.10E-11
39076.8191,236134875,66.29270935,2.10E-11
39071.8191,236134775,66.35485077,2.10E-11
39064.74805,236134700,66.42282104,2.10E-11
39057.67701,233990800,66.42282104,2.10E-11
39052.67701,233990750,66.42282104,2.10E-11
39045.60596,233990250,66.42282104,2.10E-11
39038.53492,233978875,66.42282104,2.10E-11
39031.46387,233974150,66.42282104,2.10E-11
39024.39283,233973425,66.42282104,2.10E-11
39019.39283,233973325,66.42282104,2.10E-11
39014.39283,233973225,66.42282104,2.10E-11
39007.32178,233970400,66.42282104,2.10E-11
39000.25074,233969950,66.42282104,2.10E-11
38995.25074,233969800,66.42282104,2.10E-11
38988.17969,233969250,66.42282104,2.10E-11
38983.17969,233965175,66.42282104,2.10E-11
38978.17969,233965150,66.42282104,2.10E-11
38973.17969,233961600,66.42282104,2.10E-11
38968.17969,233961575,66.42282104,2.10E-11
38963.17969,233961550,66.42282104,2.10E-11
38958.17969,233961525,66.42282104,2.10E-11
38953.17969,233961500,66.42282104,2.10E-11
38948.17969,233961475,66.42282104,2.10E-11
38943.17969,233961450,66.42282104,2.10E-11
38936.10865,233960225,66.98038483,2.10E-11
38931.10865,233960175,67.23599243,2.10E-11
38924.0376,233959000,68.2561264,2.10E-11
38919.0376,233958950,68.2561264,2.10E-11
38911.96656,233958250,68.68882751,2.10E-11
38906.96656,233957825,68.68882751,2.10E-11
38899.89551,233957550,68.68882751,2.10E-11
38894.89551,233957000,69.60662079,2.10E-11
38887.82447,233956600,69.60662079,2.10E-11
38880.75342,233956350,69.60662079,2.10E-11
38875.75342,233954350,69.60662079,2.10E-11
38868.68238,233953700,69.60662079,2.10E-11
38861.61133,233950075,69.60662079,2.10E-11
38856.61133,233948925,69.60662079,2.10E-11
38849.54029,233948650,69.60662079,2.10E-11
38844.54029,233946825,69.63916779,2.10E-11
38837.46924,233946400,69.63916779,2.10E-11
38832.46924,233945850,69.96636963,2.10E-11
38825.3982,233945600,69.96636963,2.10E-11
38820.3982,233945125,70.2771225,2.10E-11
38813.32715,233944975,70.2771225,2.10E-11
38808.32715,233942700,70.58191681,2.10E-11
38801.25611,233942600,70.58191681,2.10E-11
38796.25611,233941250,70.58191681,2.10E-11
38791.25611,233937025,70.58191681,2.10E-11
38784.18506,233936850,70.58191681,2.10E-11
38779.18506,233933650,70.58191681,2.10E-11
38772.11402,233932725,70.58191681,2.10E-11
38767.11402,233930275,70.58191681,2.10E-11
38760.04297,233930200,70.58191681,2.10E-11
38755.04297,233929275,70.58191681,2.10E-11
38747.97193,233929125,70.58191681,2.10E-11
38742.97193,233928625,70.58191681,2.10E-11
38735.90088,233928275,70.58191681,2.10E-11
38730.90088,233927500,70.58191681,2.10E-11
38723.82984,233927025,70.58191681,2.10E-11
38718.82984,233925700,70.78606415,2.10E-11
38711.75879,233925550,70.78606415,2.10E-11
38704.68775,233836475,70.78606415,2.10E-11
38699.68775,233835775,70.93902588,2.10E-11
38692.6167,233835750,70.93902588,2.10E-11
38685.54566,233835325,70.93902588,2.10E-11
38678.47461,233834100,70.95357513,2.10E-11
38673.47461,233833800,70.95357513,2.10E-11
38666.40357,233832275,70.95357513,2.10E-11
38661.40357,233820200,71.17227936,2.10E-11
38654.33253,233819850,71.17227936,2.10E-11
38647.26148,233818575,71.17227936,2.10E-11
38640.19044,233816975,71.17227936,2.10E-11
38635.19044,233815925,72.02062225,2.10E-11
38628.11939,233815850,72.02062225,2.10E-11
38621.04835,233815625,72.02062225,2.10E-11
38613.9773,233814750,72.02062225,2.10E-11
38608.9773,233814175,73.34220123,2.10E-11
38601.90626,233814000,73.34220123,2.10E-11
38594.83521,233813700,73.34220123,2.10E-11
38587.76417,233813325,73.34220123,2.10E-11
38580.69312,233812125,73.7821579,2.10E-11
38573.62208,233812100,73.7821579,2.10E-11
38566.55103,231615350,73.7821579,2.10E-11
38561.55103,231614925,73.7821579,2.10E-11
38554.47999,231614725,73.7821579,2.10E-11
38547.40894,231614200,73.7821579,2.10E-11
38540.3379,231613825,74.04679108,2.10E-11
38533.26685,231613800,74.04679108,2.10E-11
38526.19581,231608250,74.241539,2.10E-11
38519.12476,231607675,74.4030304,2.10E-11
38514.12476,231607000,74.56912994,2.10E-11
38507.05372,231606575,74.56912994,2.10E-11
38499.98267,231602950,74.56912994,2.10E-11
38494.98267,231598275,74.60581207,2.10E-11
38487.91163,231597700,74.60581207,2.10E-11
38480.84058,231597400,74.60581207,2.10E-11
38473.76954,231596900,74.60581207,2.10E-11
38468.76954,231596225,74.60581207,2.10E-11
38461.69849,231594675,74.60581207,2.10E-11
38456.69849,231594200,74.60581207,2.10E-11
38451.69849,231592475,74.73860168,2.10E-11
38444.62745,231592350,74.87366486,2.10E-11
38439.62745,231592000,75.05423737,2.10E-11
38434.62745,231591850,75.23480988,2.10E-11
38429.62745,231591050,75.41537476,2.10E-11
38422.5564,231591025,75.41537476,2.10E-11
